year,region,case_name,site_address,district_village,proposing_unit,investment_type,layer,main_benefit,maintenance_years,public_evidence,verifiability
2025,W,建民社區全齡綠化環保行動,,,,,,,,114W,
2025,W,綠色健康家居由廚餘養耕循環開始,,,,,,,,114W,
2025,W,有機綠生活-廚餘助益,,,,,,,,114W,
2025,W,食農小庭園,,,,,,,,114W,
2025,W,城市綠洲計畫 – 百間厝文化藝術公園,,,,,,,,114W,
2025,W,OPEN 北投101,,,,,,,,114W,
2025,W,改造驗收微旅行,,,,,,,,114W,
2025,W,辦理源由,,,,,,,,114W,
2025,W,活動規劃與構想,,,,,,,,114W,
2025,W,綠生活節辦理活動情形,,,,,,,,114W,
2025,W,當日場地配置及動線規劃,,,,,,,,114W,
2025,W,OPEN GREEN 計畫改造組及整備組入選及完成證明證書設計,,,,,,,,114W,
2025,W,活動當日紀實與攤位互動情形,,,,,,,,114W,
2025,W,OPG 成果展覽,,,,,,,,114W,
2025,W,創意回饋,,,,,,,,114W,
2025,W,社區動能的擴大與延續,,,,,,,,114W,
2025,W,共學課程與專業輔導效益,,,,,,,,114W,
2025,W,串聯資源網絡，擴散社區影響力,,,,,,,,114W,
2025,W,潛在提案社區訪視表,,,,,,,,114W,
2025,W,改造組計畫簡報,,,,,,,,114W,
2025,W,整備組計畫簡報,,,,,,,,114W,
2025,W,認證相關文件,,,,,,,,114W,
2025,W,微旅行各組驗收紀錄,,,,,,,,114W,
2025,W,揪伴報名表,,,,,,,,114W,
2025,W,西區各組證書,,,,,,,,114W,
2025,W,改造組鐵牌,,,,,,,,114W,
2025,W,綠生活節相關文宣,,,,,,,,114W,
2025,W,OPG 展覽展版,,,,,,,,114W,
2025,W,開放資料表,,,,,,,,114W,
