source_md,case_name,year_batch,owner,location,applicant,quality
106R.md,松德療癒森林,2017,臺北市立聯合醫院松德院區│空地,信義區三犁里松德[提案名稱]2017年度│老眷新舍之藝起眷動[權屬]財政部國有財產署│庭院[地點]文山區順興里保儀路路3,信義綠人,ok
106R.md,老眷新舍之藝起眷動,2017,財政部國有財產署│庭院,文山區順興里保儀路路309號,信義綠人,ok
106R.md,復建聚寶園,2017,臺北市稅捐稽徵處│空地,松山區復建里八德路3段158巷7弄20號,復建聚寶園推動小組友善新動線，樟文友善路人甲，穿越334巷回家的路民炤休閒長廊串,ok
106R.md,穿越回家的路,2017,私有│既成巷道,文山區樟文里木新路三段334巷的改善，空間明亮又舒適，人行動線重新,友善路人甲,ok
106R.md,民炤休閒長廊,2017,臺北市市場處│空地,大安區民炤里仁愛路三段24巷12號側邊,民炤里辦公處036OPENGREEN|打開綠生活臺北生活空間改造／逆齡城市OPE,ok
106R.md,老人茶室,2017,財政部國有財產署│庭院,大安區法治里通化街192號[提案名稱]2017年度│蟾蜍山-空間串聯計畫[權屬]財政部國有財產署│空地[地點]大安區學府,法治里辦公處路四段119巷62弄之巷底繞上,ok
106R.md,蟾蜍山-空間串聯計畫,2017,財政部國有財產署│空地,大安區學府里羅斯福,法治里辦公處路四段119巷62弄之巷底繞上,ok
106R.md,華江蝴蝶自然生態園區,2017,臺北市公園路燈工程管理處│空地,萬華區華里羅斯福路四段119巷62弄口轉角,蟾蜍山：山神小隊,ok
106R.md,奇岩中崙仔溝有雞逐夢,2017,臺北市公園路燈工程管理處│公園,北投區奇岩里三合街一段與礦港路交叉口,奇岩社區發展協會、野步社區工作室,ok
106R.md,打造社子島小鴨慢學塘,2017,私有│戶外庭院,士林區富洲里延平北路9段[提案名稱]2017年度│回到未來、古風羊齒[權屬]國防部│空地[地點]大安區古風里雲和街72巷,士林區富洲社區發展協會,ok
106R.md,回到未來、古風羊齒,2017,國防部│空地,大安區古風里雲和街72巷7號90號,士林區富洲社區發展協會,ok
106R.md,轉角遇見綠,2014,國防部[提案名稱]2015年度│危牆倒下吧！龍泉宿舍開門│閒置房舍,大安區古風里雲和街72巷9號計畫[權屬]財政部國有財產署│戶外庭院[地點],綠點點點點、古風里辦公處、古風社大安區師大路117巷1-3號,ok
106R.md,危牆倒下吧！龍泉宿舍開門│閒置房舍,2015,財政部國有財產署│戶外庭院,大安區古風里雲和街72巷9號計畫[權屬]財政部國有財產署│戶外庭院[地點],綠點點點點、古風里辦公處、古風社大安區師大路117巷1-3號,ok
106R.md,希望83,2017,財政部國有財產署│空地,大同區景星里迪化街二段83巷,大橋工舍、景星里辦公處,ok
106R.md,聚吉而共享-OPEN小客廳,2017,臺北市稅捐稽徵處│庭院,大同區揚雅里昌[提案名稱]2017年度│永功里懷舊小苑子[權屬]財政部國有財產署│空地[地點]中正區永功里汀洲路一吉街6,景澤創意有限公司,ok
106R.md,永功里懷舊小苑子,2017,財政部國有財產署│空地,中正區永功里汀洲路一吉街61巷37號,景澤創意有限公司,ok
106R.md,忠順‧食驗室,2017,南方翡翠管理委員會│私人庭院、空地,文山區忠順里[提案名稱]2017年度│港町永樂[權屬]臺北市公園路燈工程管理處│路燈[地點]大同區永樂里迪化街一興隆路四,忠順社區發展協會、軛設計有限公司,ok
106R.md,港町永樂,2017,臺北市公園路燈工程管理處│路燈,大同區永樂里迪化街一興隆路四段109巷6弄,忠順社區發展協會、軛設計有限公司,ok
106R.md,打造社子島小鴨慢學塘方，早已習得了與水共處的聚落生活形態。,2017,私有│戶外庭院,士林區富洲里延平北路九段90號,士林區富洲社區發展協會,ok
106R.md,穿越回家的路反覆行走，可以看出人們真是的生活經驗和樣貌。長期關注婦幼安全與性別平,2017,私有│既成巷道,文山區樟文里木新路三段334巷,友善路人甲,merged(需複核)
106R.md,GetintotheGreen—搭建明興生以位於中正區的「永功里懷舊小苑子」為例。車亭與人行道空間重新規劃後，讓等公車也變態環境教育探索平台；2016年度│回歸自然、步道手作—還物種與人友善的空間,2015,新光人壽保險股份有限得樂活起來。107-C1-01-37-PU公司│閒置空地,文山區明興里木柵路二段109巷[提案名稱]2014年度、2015年度│笑．順食堂；2016年底,,merged(需複核)
106R.md,笑．順食堂；2016年底,2014,臺北市政府財政局│閒置空地；0391）[FB]明興社區（公開社團）社會局｜退縮人,文山完工年度空間區位分期改造補助費用公／私有區忠順里興隆路四段109巷4號；興隆路四段109巷30弄年度排序6號,,ok
106R.md,圍牆拆心橋通友善空間訴關懷地,2016,國防部│公私介面,文山區景東里景華街104巷底；景興路153巷[權屬]國防部│公私介面[地點]文山區明興里秀明路一108號旁段19巷1號,,ok
106R.md,老舊眷新舍之藝起眷動,2017,財1980年景美（尾）溪整建，置入水泥箱涵取代舊河政部國有財產署│庭院,文山區順興里保儀路1382014年，中正社區大學帶領民眾討論巷內閒置橋下新綠點，華江蝴蝶生態營造道，結合專業團體確保設計,順興社區發展協會,ok
106R.md,扭轉施洛德文學花園計畫；2016,2014,財政部國有財產署│||---|----------------------|--,,華||中融入環境教育，增加大眾參與公共事務的契機。||閒置空地,ok
106R.md,有種，南機場；2016年度│社區永功小苑子，汀洲路旁的懷舊基地老服中心，穿透長者的日常,2015,臺北市市場處│閒置房舍||||-------------------------,萬華區新忠里（忠恕社區）中華路二段364巷24弄||桌前的長輩們細說過去火車伴隨著蒸氣緩緩駛||[提案名稱]2017年度,,merged(需複核)
106R.md,淡水河畔臺北水空間的營造與創,2016,私有│騎樓,,,ok
106R.md,象山心路口—松德療癒路徑（給性價值。及減緩後巷油煙的問題，成為林蔭大道旁的特北市政府新工處│人行道,2016,臺北市立聯合醫院松德院區│色休憩空間。四段119巷62弄口轉角[申請／執行]蟾蜍,大安區學府里羅斯福路台灣梭羅樹一個家）[權屬]臺北市立聯合醫院松德院區│色休憩空間。四段119巷62弄口轉角,蟾蜍山：山神小隊停車場,merged(需複核)
106R.md,Open！打開哲學家的秘密花園：,2015,臺灣大學│古蹟庭[提案名稱]2015年度│洵跡[權屬]臺灣大學│閒置空地院,大安區龍坡里溫州街18巷16弄1-1號,,ok
106R.md,轉角遇見綠；2015年度│危牆倒,2014,國防部│閒置房舍；財|轉彎停看聽，通化街的法治新據點|||大同區||------,大安區古風里雲和街72巷9號；師大路117巷1-3號,,ok
106R.md,來一場不具名的物物交換之旅展，居民逐漸體會到都市空地的存在不必然是,2015,臺北市稅捐稽徵處│庭院,大同區揚雅里昌|開發。2016年以兩年來對使用者的觀察提出|||吉街61巷37號,景澤創意有限公司,merged(需複核)
106R.md,台北好傘；2016年度│UPTONE®,2014,財政部國有財產署│空地,大安區古庄里和樸門農藝的技術傳遞，鑲嵌得恰到好處的石塊|平東路一段104巷16號,,ok
106R.md,聚寶盆（已完成階段性任務）；,2014,私有│閒置房舍,,,ok
